sample,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
android,connecting-the-dots/android-AppUsageStatistics,0,7047,0,3,0,9,0,2015-07-12T07:58:28Z,0,diverged,2,14
android,coplas/android-play-location,0,462,0,1,0,34,0,2015-09-25T21:32:28Z,0,diverged,1,38
android,Corollarium/android-Camera2Basic,0,1429,0,2,0,24,0,2017-05-08T19:27:54Z,0,diverged,1,5
android,correaj418/androidtv-sample-inputs,0,24022,0,1,0,199,0,2017-08-08T23:09:40Z,0,ahead,4,0
android,costerman/android-ScreenCapture,0,3061,0,1,0,11,0,2015-02-17T02:51:00Z,0,diverged,9,18
android,Crenshinibon/android-fit,0,492,0,1,0,48,0,2017-07-18T11:55:10Z,0,diverged,1,7
android,CristhianUlloa/android-BluetoothAdvertisements,1,216,0,1,0,9,0,2016-04-19T15:58:09Z,0,diverged,1,9
android,CRSingh/android-testing,0,10971,0,1,0,94,0,2018-07-13T16:25:58Z,0,diverged,14,103
android,cs-elias-costa/android-XYZTouristAttractions,0,26393,0,0,0,23,0,2016-11-20T21:11:17Z,0,diverged,8,9
android,cscsmeca/android-testing,0,10876,0,1,0,101,0,2016-09-18T05:48:21Z,0,diverged,12,94
android,cshimmin/android-Camera2Video,0,6912,0,1,0,25,0,2017-01-19T22:18:52Z,0,diverged,2,4
android,cskab46/android-BluetoothAdvertisements,0,217,0,0,0,17,0,2018-01-26T12:04:41Z,0,diverged,1,1
android,cuplv/android-Camera2Basic,0,1410,0,1,0,22,0,2016-01-14T19:39:06Z,0,diverged,3,9
android,cyrsis/android-AsymmetricFingerprintDialog,0,36362,0,1,0,16,0,2016-09-27T17:55:08Z,0,diverged,2,6
android,cyrsis/android-NavigationDrawer,0,24956,0,1,0,22,0,2016-09-27T17:50:14Z,0,diverged,1,5
android,daeun1012/android-testing-templates,0,167,0,1,0,30,0,2018-03-29T06:17:57Z,0,ahead,2,0
android,dakshj/android-instant-apps,0,682,0,1,0,32,0,2018-05-22T22:26:35Z,0,diverged,1,5
android,DaleKocian/android-play-location,0,419,0,1,0,26,0,2015-01-16T01:23:50Z,0,diverged,1,46
android,DaleKocian/google-services,0,8244,0,1,0,495,0,2016-04-11T04:17:31Z,0,diverged,3,136
android,DarioParaspola/android-Camera2Basic,0,1406,0,1,0,20,0,2016-02-07T17:07:40Z,0,diverged,1,9
android,darryncampbell/android-testdpc,0,6289,0,1,0,693,0,2018-01-26T07:33:42Z,0,diverged,1,152
android,davidosan/android-BluetoothLeGatt,0,323,0,0,0,25,0,2017-11-30T16:04:16Z,0,diverged,1,1
android,dcalf/easypermissions,0,269,0,0,0,74,0,2017-04-06T03:32:44Z,0,diverged,2,92
android,ddwheele/android-vision,0,859,0,1,0,95,0,2018-11-12T05:34:24Z,0,ahead,19,0
android,dec1/android-play-billing,1,237,0,2,0,16,0,2016-12-06T22:22:38Z,0,diverged,1,50
android,deglans/android-DisplayingBitmaps,0,1106,0,1,0,29,0,2018-08-17T13:05:26Z,0,ahead,4,0
android,dejavu1988/google-services,0,8046,0,1,0,415,0,2015-07-07T14:00:00Z,0,diverged,5,218
android,deltis/android-WatchFace,0,2371,0,1,0,23,0,2017-01-31T09:59:13Z,0,diverged,2,10
android,DerSchimi/android-fit,0,389,0,1,0,33,0,2014-11-06T22:19:38Z,0,diverged,2,23
android,devdev-dev/DD-AWF01,0,1536,0,1,0,23,0,2018-02-01T21:36:21Z,0,diverged,22,30
android,developer79433/android-vision,0,706,0,0,0,61,0,2016-09-15T09:09:22Z,0,diverged,1,16
android,dff-solutions/android-play-publisher-api,0,6541,1,11,0,31,0,2017-05-19T06:38:50Z,0,diverged,22,2
android,dhodge229/android-Camera2Video,0,2865,0,1,0,3,0,2014-10-21T17:33:32Z,0,diverged,1,25
android,diatrevolo/google-services,0,8381,0,0,0,583,0,2017-03-06T20:15:37Z,0,diverged,1,46
android,diewland/android-BluetoothLeGatt,0,307,0,1,0,25,0,2016-03-23T16:23:48Z,0,diverged,8,8
android,dilbrent/android-WatchFace,0,2945,0,1,0,36,0,2018-06-04T13:51:58Z,0,diverged,6,1
android,dipsywong98/android-MediaRecorder,0,981,0,1,0,26,0,2018-03-21T05:17:36Z,0,diverged,1,2
android,dirnbaue14/android-BasicGestureDetect,0,319,0,1,0,24,0,2016-11-30T11:41:14Z,0,diverged,5,5
android,divinebird/android-CardEmulation,0,627,0,1,0,24,0,2018-02-06T05:46:19Z,0,diverged,1,1
android,Divya063/android-testing,0,11060,0,1,0,112,0,2018-01-13T15:25:35Z,0,diverged,1,72
android,djcarlinwa/android-play-location,0,403,0,1,0,45,0,2016-06-19T07:23:18Z,0,diverged,1,27
android,dkuspawono/android-RuntimePermissions,0,513,0,1,0,14,0,2017-01-13T03:35:02Z,0,diverged,2,4
android,dlarsonks/android-AutofillFramework,0,9578,0,0,0,23,0,2017-08-07T23:55:18Z,0,diverged,7,12
android,dmahely/android-BasicAccessibility,0,362,0,0,0,25,0,2018-08-06T05:14:43Z,0,diverged,1,1
android,don78colorado/android-fit,0,491,0,0,0,52,0,2017-09-29T16:28:34Z,0,diverged,5,7
android,doselect/android-testing,2,10869,0,2,0,91,2,2016-10-25T07:03:56Z,0,diverged,2,94
android,dredous/android-Camera2Basic,1,8968,0,1,0,23,0,2016-05-25T05:45:21Z,0,diverged,2,7
android,drkraenk/c3tv,0,1942,0,1,0,198,0,2016-02-22T21:47:10Z,0,diverged,3,63
android,DroidsOnRoidsPlayground/android-testing,0,10897,0,2,0,98,0,2018-05-08T18:05:33Z,0,diverged,5,90
